Step,Body,PosX,PosY,VelX,VelY
38000,1,0.716985,-0.064308,3.15565,34.8835
38000,2,0.277539,0.960629,-28.6146,8.25778
38000,3,4.17678,3.09926,-7.78029,10.4987
38000,4,19.1424,1.725,-0.610415,6.77265
39000,0,0,0,0,0
39000,1,0.69995,0.16815,-8.2075,34.0509
39000,2,0.0820416,0.996478,-29.6847,2.43256
39000,3,4.12419,3.169,-7.95528,10.3665
39000,4,19.1383,1.77027,-0.626431,6.77119
40000,0,0,0,0,0
40000,1,0.609175,0.382891,-18.7137,29.6282
40000,2,-0.116697,0.992932,-29.5812,-3.49018
40000,3,4.07043,3.23785,-8.12802,10.2315
40000,4,19.134,1.81553,-0.642443,6.7697
41000,0,0,0,0,0
41000,1,0.454137,0.55723,-27.265,22.0664
41000,2,-0.310819,0.950122,-28.3078,-9.27647
41000,3,4.01553,3.30578,-8.29846,10.0936
41000,4,19.1297,1.86077,-0.658451,6.76816
42000,0,0,0,0,0
42000,1,0.251068,0.672612,-32.9546,12.1415
42000,2,-0.492644,0.86973,-25.9141,-14.6975
42000,3,3.9595,3.37278,-8.46656,9.95279
42000,4,19.1252,1.90601,-0.674456,6.76659
43000,0,0,0,0,0
43000,1,0.0213559,0.716568,-35.1607,0.884054
43000,2,-0.654975,0.754925,-22.4941,-19.5387
43000,3,3.90235,3.43883,-8.63227,9.80922
43000,4,19.1207,1.95124,-0.690456,6.76498
44000,0,0,0,0,0
44000,1,-0.210613,0.684106,-33.6184,-10.5182
44000,2,-0.791378,0.61024,-18.1824,-23.608
44000,3,3.8441,3.50391,-8.79554,9.66288
44000,4,19.116,1.99645,-0.706453,6.76334
45000,0,0,0,0,0
45000,1,-0.420001,0.578363,-28.4602,-20.8413
45000,2,-0.896445,0.441393,-13.1492,-26.7438
45000,3,3.78477,3.56801,-8.95633,9.51383
45000,4,19.1112,2.04165,-0.722445,6.76165
46000,0,0,0,0,0
46000,1,-0.584192,0.410411,-20.215,-28.9581
46000,2,-0.966004,0.255064,-7.59336,-28.8211
46000,3,3.72437,3.6311,-9.11459,9.36211
46000,4,19.1064,2.08685,-0.738433,6.75993
47000,0,0,0,0,0
47000,1,-0.685314,0.198169,-9.76127,-33.9686
47000,2,-0.997286,0.0586305,-1.73481,-29.757
47000,3,3.66292,3.69317,-9.27027,9.20775
47000,4,19.1014,2.13203,-0.754417,6.75817
48000,0,0,0,0,0
48000,1,-0.712289,-0.0355073,1.76594,-35.3098
48000,2,-0.989039,-0.140125,4.19423,-29.5136
48000,3,3.60044,3.75419,-9.42333,9.05081
48000,4,19.0963,2.1772,-0.770396,6.75637
49000,0,0,0,0,0
49000,1,-0.662129,-0.265337,13.1037,-32.8282
49000,2,-0.941581,-0.333325,9.95849,-28.0999
49000,3,3.53694,3.81416,-9.57374,8.89132
49000,4,19.0911,2.22235,-0.786371,6.75454
50000,0,0,0,0,0
50000,1,-0.540308,-0.466456,23.0097,-26.8002
50000,2,-0.856783,-0.513305,15.329,-25.5715
50000,3,3.47245,3.87305,-9.72144,8.72933
50000,4,19.0858,2.2675,-0.802342,6.75266
51000,0,0,0,0,0
51000,1,-0.360122,-0.6172,30.4082,-17.8976
51000,2,-0.738002,-0.672926,20.0923,-22.0285
51000,3,3.40698,3.93086,-9.8664,8.56489
51000,4,19.0803,2.31263,-0.818307,6.75075
52000,0,0,0,0,0
52000,1,-0.141149,-0.701502,34.5124,-7.10446
52000,2,-0.589947,-0.805854,24.0589,-17.6114
52000,3,3.34056,3.98755,-10.0086,8.39805
52000,4,19.0748,2.35775,-0.834268,6.74881
53000,0,0,0,0,0
53000,1,0.0929764,-0.710584,34.9064,4.40274
53000,2,-0.418489,-0.906814,27.0712,-12.4956
53000,3,3.27319,4.04312,-10.1479,8.22884
53000,4,19.0692,2.40285,-0.850225,6.74682
54000,0,0,0,0,0
54000,1,0.317196,-0.643806,31.5805,15.39
54000,2,-0.230428,-0.971802,29.0096,-6.88428
54000,3,3.20489,4.09756,-10.2844,8.05733
54000,4,19.0634,2.44795,-0.866176,6.7448
55000,0,0,0,0,0
55000,1,0.507716,-0.50859,24.9183,24.6993
55000,2,-0.0332275,-0.998242,29.7971,-1.00055
55000,3,3.1357,4.15084,-10.418,7.88355
55000,4,19.0576,2.49303,-0.882122,6.74273
56000,0,0,0,0,0
56000,1,0.64449,-0.319511,15.6443,31.366
56000,2,0.165292,-0.985092,29.4029,4.92184
56000,3,3.06562,4.20295,-10.5486,7.70756
56000,4,19.0517,2.53809,-0.898063,6.74063
57000,0,0,0,0,0
